home_team,away_team,home_team_goals,away_team_goals,match_date
leganes,ath. bilbao,1,0,2017-10-22T17:30:00+00:00
celta vigo,atl. madrid,0,1,2017-10-22T15:15:00+00:00
villarreal,las palmas,4,0,2017-10-22T11:00:00+00:00
barcelona,malaga,2,0,2017-10-21T19:45:00+00:00
valencia,sevilla,4,0,2017-10-21T17:30:00+00:00
betis,alaves,2,0,2017-10-21T15:15:00+00:00
levante,getafe,1,1,2017-10-21T12:00:00+00:00
las palmas,celta vigo,2,5,2017-10-16T20:00:00+00:00
betis,valencia,3,6,2017-10-15T19:45:00+00:00
malaga,leganes,0,2,2017-10-15T17:30:00+00:00
girona,villarreal,1,2,2017-10-15T15:15:00+00:00
eibar,la coruna,0,0,2017-10-15T11:00:00+00:00
atl. madrid,barcelona,1,1,2017-10-14T19:45:00+00:00
alaves,real sociedad,0,2,2017-10-14T17:30:00+00:00
getafe,real madrid,1,2,2017-10-14T15:15:00+00:00
ath. bilbao,sevilla,1,0,2017-10-14T12:00:00+00:00
espanyol,levante,0,0,2017-10-13T20:00:00+00:00
real madrid,espanyol,2,0,2017-10-01T19:45:00+00:00
valencia,ath. bilbao,3,2,2017-10-01T17:30:00+00:00
villarreal,eibar,3,0,2017-10-01T17:30:00+00:00
barcelona,las palmas,3,0,2017-10-01T15:15:00+00:00
real sociedad,betis,4,4,2017-10-01T11:00:00+00:00
leganes,atl. madrid,0,0,2017-09-30T19:45:00+00:00
levante,alaves,0,2,2017-09-30T17:30:00+00:00
sevilla,malaga,2,0,2017-09-30T15:15:00+00:00
la coruna,getafe,2,1,2017-09-30T12:00:00+00:00
celta vigo,girona,3,3,2017-09-29T20:00:00+00:00
betis,levante,4,0,2017-09-25T20:00:00+00:00
real sociedad,valencia,2,3,2017-09-24T19:45:00+00:00
eibar,celta vigo,0,4,2017-09-24T17:30:00+00:00
las palmas,leganes,0,2,2017-09-24T17:30:00+00:00
getafe,villarreal,4,0,2017-09-24T15:15:00+00:00
espanyol,la coruna,4,1,2017-09-24T11:00:00+00:00
girona,barcelona,0,3,2017-09-23T19:45:00+00:00
malaga,ath. bilbao,3,3,2017-09-23T17:30:00+00:00
alaves,real madrid,1,2,2017-09-23T15:15:00+00:00
atl. madrid,sevilla,2,0,2017-09-23T12:00:00+00:00
levante,real sociedad,3,0,2017-09-21T21:00:00+00:00
celta vigo,getafe,1,1,2017-09-21T20:00:00+00:00
villarreal,espanyol,0,0,2017-09-21T19:00:00+00:00
real madrid,betis,0,1,2017-09-20T21:00:00+00:00
sevilla,las palmas,1,0,2017-09-20T21:00:00+00:00
la coruna,alaves,1,0,2017-09-20T20:00:00+00:00
ath. bilbao,atl. madrid,1,2,2017-09-20T19:00:00+00:00
leganes,girona,0,0,2017-09-20T19:00:00+00:00
barcelona,eibar,6,1,2017-09-19T21:00:00+00:00
valencia,malaga,5,0,2017-09-19T19:00:00+00:00
espanyol,celta vigo,2,1,2017-09-18T20:00:00+00:00
real sociedad,real madrid,1,3,2017-09-17T19:45:00+00:00
las palmas,ath. bilbao,1,0,2017-09-17T17:30:00+00:00
girona,sevilla,0,1,2017-09-17T15:15:00+00:00
alaves,villarreal,0,3,2017-09-17T11:00:00+00:00
atl. madrid,malaga,1,0,2017-09-16T19:45:00+00:00
betis,la coruna,2,1,2017-09-16T17:30:00+00:00
getafe,barcelona,1,2,2017-09-16T15:15:00+00:00
levante,valencia,1,1,2017-09-16T12:00:00+00:00
eibar,leganes,1,0,2017-09-15T20:00:00+00:00
malaga,las palmas,1,3,2017-09-11T20:00:00+00:00
villarreal,betis,3,1,2017-09-10T19:45:00+00:00
celta vigo,alaves,1,0,2017-09-10T17:30:00+00:00
ath. bilbao,girona,2,0,2017-09-10T15:15:00+00:00
la coruna,real sociedad,2,4,2017-09-10T11:00:00+00:00
barcelona,espanyol,5,0,2017-09-09T19:45:00+00:00
sevilla,eibar,3,0,2017-09-09T17:30:00+00:00
valencia,atl. madrid,0,0,2017-09-09T15:15:00+00:00
real madrid,levante,1,1,2017-09-09T12:00:00+00:00
leganes,getafe,1,2,2017-09-08T20:00:00+00:00
real madrid,valencia,2,2,2017-08-27T21:15:00+00:00
getafe,sevilla,0,1,2017-08-27T19:15:00+00:00
eibar,ath. bilbao,0,1,2017-08-27T17:15:00+00:00
espanyol,leganes,0,1,2017-08-27T17:15:00+00:00
las palmas,atl. madrid,1,5,2017-08-26T21:15:00+00:00
girona,malaga,1,0,2017-08-26T19:15:00+00:00
levante,la coruna,2,2,2017-08-26T19:15:00+00:00
alaves,barcelona,0,2,2017-08-26T17:15:00+00:00
betis,celta vigo,2,1,2017-08-25T21:00:00+00:00
real sociedad,villarreal,3,0,2017-08-25T19:15:00+00:00
malaga,eibar,0,1,2017-08-21T21:00:00+00:00
levante,villarreal,1,0,2017-08-21T19:15:00+00:00
la coruna,real madrid,0,3,2017-08-20T21:15:00+00:00
barcelona,betis,2,0,2017-08-20T19:15:00+00:00
ath. bilbao,getafe,0,0,2017-08-20T17:15:00+00:00
sevilla,espanyol,1,1,2017-08-19T21:15:00+00:00
girona,atl. madrid,2,2,2017-08-19T19:15:00+00:00
celta vigo,real sociedad,2,3,2017-08-19T17:15:00+00:00
valencia,las palmas,1,0,2017-08-18T21:15:00+00:00
leganes,alaves,1,0,2017-08-18T19:15:00+00:00
